rootfile	callNumber	pageNumber	multiPageSortOrder	title	author	imprintOrigin	bibId	holdingsId	lunaObjectId	lunaImageId	lunaURL	size4jpgURL	size5jpgURL	size6jpgURL	size7jpgURL	dateCreated	dateUpdated
143937	STC 17884 copy 1	front outside cover	1	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210668	1214952	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214952~210668	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143937.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143937.jp2&level=2&width=1238&height=1568	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143937.jp2&level=1&width=2478&height=3137	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143937.jp2&width=4957&height=6274	2016-12-06T16:36:24Z	2016-12-06T16:36:24Z
143938	STC 17884 copy 1	front inside cover || front endleaf 1 recto	2	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210667	1214953	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214953~210667	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143938.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143938.jp2&level=2&width=1679&height=1115	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143938.jp2&level=1&width=3359&height=2232	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143938.jp2&width=6718&height=4465	2016-12-06T16:36:24Z	2016-12-06T16:36:24Z
143939	STC 17884 copy 1	front endleaf 1 verso || front endleaf 2 recto	3	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210666	1214954	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214954~210666	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143939.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143939.jp2&level=2&width=1673&height=1112	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143939.jp2&level=1&width=3346&height=2225	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143939.jp2&width=6693&height=4452	2016-12-06T16:36:24Z	2016-12-06T16:36:24Z
14394	STC 22313 copy 2	front endleaf 2v || front endleaf 3r	4	[King Richard II] The life and death of King Richard the second. With new additions of the Parliament scene, and the deposing of King Richard.	Shakespeare, William, 1564-1616.	1634	163923	157499	108701	141640	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~141640~108701	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1-6-NA/1072/014394.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1-6-NA/1072/014394.jp2&level=2&width=1767&height=1256	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1-6-NA/1072/014394.jp2&level=1&width=3534&height=2512	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1-6-NA/1072/014394.jp2&width=7068&height=5025	2014-12-30T17:31:14Z	2014-12-30T17:31:14Z
143940	STC 17884 copy 1	front endleaf 2 verso || front endleaf 3 recto	4	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210665	1214955	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214955~210665	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143940.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143940.jp2&level=2&width=1681&height=1112	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143940.jp2&level=1&width=3362&height=2225	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143940.jp2&width=6725&height=4452	2016-12-06T16:36:24Z	2016-12-06T16:36:24Z
143941	STC 17884 copy 1	front endleaf 3 verso || leaf A1 recto	5	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210664	1214956	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214956~210664	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143941.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143941.jp2&level=2&width=1665&height=1100	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143941.jp2&level=1&width=3330&height=2201	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143941.jp2&width=6661&height=4404	2016-12-06T16:36:24Z	2016-12-06T16:36:24Z
143942	STC 17884 copy 1	leaf A1 verso || leaf A2 recto	6	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210663	1214957	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214957~210663	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143942.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143942.jp2&level=2&width=1677&height=1104	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143942.jp2&level=1&width=3354&height=2209	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143942.jp2&width=6709&height=4420	2016-12-06T16:36:24Z	2016-12-06T16:36:24Z
143943	STC 17884 copy 1	leaf A2 verso || leaf A3 recto (page 1)	7	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210662	1214958	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214958~210662	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143943.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143943.jp2&level=2&width=1681&height=1102	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143943.jp2&level=1&width=3363&height=2206	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143943.jp2&width=6727&height=4413	2016-12-06T16:36:24Z	2016-12-06T16:36:24Z
143944	STC 17884 copy 1	leaf A3 verso (page 2) || leaf A4 recto (page 3)	8	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210661	1214959	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214959~210661	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143944.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143944.jp2&level=2&width=1677&height=1100	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143944.jp2&level=1&width=3354&height=2201	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143944.jp2&width=6709&height=4404	2016-12-06T16:36:24Z	2016-12-06T16:36:24Z
143945	STC 17884 copy 1	leaf A4 verso (page 4) || leaf B1 recto (page 5)	9	A game at chesse as it hath bine sundrey times acted at the Globe on the Banck side	Middleton, Thomas, d. 1627.	[1625?]	164514	158342	210660	1214960	http://luna.folger.edu/luna/servlet/detail/FOLGERCM1~6~6~1214960~210660	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/Size4/FOLGERCM1~6~6/647/143945.jpg	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143945.jp2&level=2&width=1674&height=1099	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143945.jp2&level=1&width=3349&height=2200	http://luna.folger.edu:80/MediaManager/srvr?mediafile=/JP2K/FOLGERCM1~6~6/647/143945.jp2&width=6698&height=4400	2016-12-06T16:36:24Z	2016-12-06T16:36:25Z
